Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Temparature degree cellcius,Year,,Random,
Wheat,Khulna,11330,8190,25.5,,1980,,0.874998705,31
Wheat,Dinajpur,202835,46235,13.46,,1980,,0.874894892,31
Wheat,Pabna,103645,82295,13.46,,1980,,0.87441466,31
Wheat,Dhaka,48810,31320,8.75,,1980,,0.873423005,31
Wheat,Kishoregonj,21890,12305,13.46,,1980,,0.873198785,31
Wheat,Rangpur,248840,195730,4.25,,1980,,0.872628783,30
Wheat,Jessore,118310,66740,17,,1980,,0.871860609,30
Wheat,Bogra,76945,58525,3,,1980,,0.871302261,32
Wheat,Faridpur,63970,49940,31,,1980,,0.871021242,31
Wheat,Sylhet,12120,7760,8.25,,1980,,0.869160067,31
Wheat,Kustia,135810,115800,13.46,,1980,,0.868754444,30
Wheat,Barisal,5125,2785,13.75,,1980,,0.868695055,31
Wheat,Tangail,52395,40810,13.46,,1980,,0.86819323,30
Wheat,Rajshahi,140780,117060,10.25,,1980,,0.868031893,30
Wheat,Mymensingh,8585,8170,13.46,,1980,,0.866794316,30
Wheat,Patuakhali,175,90,13.46,,1980,,0.864368768,30
Wheat,Bandarban,0,0,13.46,,1980,,0.864366163,31
Wheat,Jamalpur,10660,8400,13.46,,1980,,0.863741553,32
Wheat,Khagrachari,0,0,13.46,,1980,,0.862821207,32
Wheat,Comilla,194990,121005,10.75,,1980,,0.861773062,32
Wheat,Rangamati,420,245,21.5,,1980,,0.860304894,31
Wheat,Chittagonj,585,380,7,,1980,,0.860263301,31
Wheat,Noakhali,2690,1470,14,,1980,,0.860042974,31
Wheat,Rangpur,165005,125380,19.25,,1981,,0.859945638,31
Wheat,Khulna,16535,13080,32.5,,1981,,0.859719259,32
Wheat,Dinajpur,183240,128845,30.75,,1981,,0.859616367,32
Wheat,Noakhali,2050,830,26.92,,1981,,0.858805422,32
Wheat,Sylhet,10255,8130,21.5,,1981,,0.858749415,32
Wheat,Pabna,87880,73785,26.92,,1981,,0.858423431,32
Wheat,Chittagonj,590,275,4.5,,1981,,0.857330518,31
Wheat,Rangamati,30,10,6,,1981,,0.857217281,31
Wheat,Rajshahi,99910,71160,53.5,,1981,,0.857079781,31
Wheat,Comilla,187015,118720,14,,1981,,0.856979687,31
Wheat,Jessore,116025,73990,66,,1981,,0.85570141,33
Wheat,Mymensingh,10830,10440,34.75,,1981,,0.855363456,31
Wheat,Khagrachari,0,0,26.92,,1981,,0.855087104,32
Wheat,Kustia,133150,106675,26.92,,1981,,0.854982873,32
Wheat,Dhaka,56805,37560,24,,1981,,0.853539997,32
Wheat,Barisal,5410,2805,25,,1981,,0.852727807,32
Wheat,Bogra,65735,47500,33.5,,1981,,0.851845014,31
Wheat,Kishoregonj,26070,11245,26.92,,1981,,0.848936964,31
Wheat,Patuakhali,85,35,13,,1981,,0.847457061,32
