Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Temparature Data,Year
Wheat,18,1.044123441,48360,0.252873563,,1989
Wheat,19,0,0,0.162758621,,1989
Wheat,22,0.101904137,5070,0.82183908,,1990
Wheat,20,1.791595535,81130,0.683908046,,1990
Wheat,1,0.129349967,4790,1.028735632,,1990
Wheat,2,1.648194353,92290,0.293103448,,1990
Wheat,4,2.264478004,122490,0.333333333,,1990
Wheat,5,2.304661852,118640,0.695632184,,1990
Wheat,6,0.754432042,39270,0.695632184,,1990
Wheat,7,1.392120814,74230,1.091954023,,1990
Wheat,21,1.461720289,72380,0.695632184,,1990
Wheat,8,0.276690742,12140,0.517241379,,1990
Wheat,23,1.04438608,50230,0.833333333,,1990
Wheat,9,0,0,0.856321839,,1990
Wheat,10,0.010636901,210,1.557471264,,1990
Wheat,11,0.00013132,0,0.959770115,,1990
Wheat,12,0.007091267,240,1.201149425,,1990
Wheat,13,2.717925148,156600,0.034482759,,1990
Wheat,14,0.623243598,28590,0.408045977,,1990
Wheat,15,0.348128693,17470,0.695632184,,1990
Wheat,16,0.401838477,20300,0.522988506,,1990
Wheat,24,0,0,0.695632184,,1990
Wheat,17,1.481549573,67550,0.505747126,,1990
Wheat,18,0.675902823,40670,0.17816092,,1990
Wheat,19,0,0,0.695632184,,1990
Wheat,22,0.106500328,5740,0.66091954,,1991
Wheat,20,0,0,0.687356322,,1991
Wheat,1,0.00019698,10,0.752873563,,1991
Wheat,2,1.003939593,61290,0.890804598,,1991
Wheat,4,0.00019698,10,0.687356322,,1991
Wheat,5,1.871306632,104670,0.563218391,,1991
Wheat,6,0.619435325,33660,0.712643678,,1991
Wheat,7,0.243729481,10840,0.844827586,,1991
Wheat,21,1.445830598,72980,1.091954023,,1991
Wheat,8,0.002495076,80,0.166666667,,1991
Wheat,23,2.152856205,134690,0.390804598,,1991
Wheat,9,1.353118844,76730,1.293103448,,1991
Wheat,10,0.116349311,4660,0.540229885,,1991
Wheat,11,0.014182534,410,0.75862069,,1991
Wheat,12,2.418778726,137770,0.687356322,,1991
Wheat,13,0.412869337,23940,0.687356322,,1991
Wheat,14,1.486539724,80530,0.687356322,,1991
Wheat,15,0.760472751,42060,0.687356322,,1991
Wheat,16,0.332107682,19390,0.540229885,,1991
