Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,Noakhali,2240,1070,27,1992
Wheat,Pabna,204580,139110,20.09,1992
Wheat,Patuakhali,760,220,26.5,1992
Wheat,Rajshahi,149520,124400,9.75,1992
Wheat,Rangamati,70,60,30,1992
Wheat,Rangpur,177730,112860,7.25,1992
Wheat,Sylhet,19580,14470,14.5,1992
Wheat,Tangail,52890,41890,13,1992
Wheat,Bandarban,0,0,23.38,1993
Wheat,Barisal,12430,8620,14.25,1993
Wheat,Bogra,41150,36830,18.75,1993
Wheat,Chittagonj,40,20,23.5,1993
Wheat,Comilla,112450,92250,42.5,1993
Wheat,Dhaka,77320,57660,17.75,1993
Wheat,Dinajpur,213690,152900,14.25,1993
Wheat,Faridpur,94180,71850,14.25,1993
Wheat,Jamalpur,63340,45340,23.38,1993
Wheat,Jessore,125000,95500,9.25,1993
Wheat,Khagrachari,0,0,23.38,1993
Wheat,Khulna,6650,6260,34,1993
Wheat,Kishoregonj,34450,24650,23.38,1993
Wheat,Kustia,113260,98710,23.38,1993
Wheat,Mymensingh,31800,22250,20.5,1993
Wheat,Noakhali,3090,2130,39.5,1993
Wheat,Pabna,198610,133510,23.38,1993
Wheat,Patuakhali,1250,610,24,1993
Wheat,Rajshahi,150310,119220,14.75,1993
Wheat,Rangamati,210,180,40,1993
Wheat,Rangpur,163420,109060,18.75,1993
Wheat,Sylhet,18610,10900,46.5,1993
Wheat,Tangail,58860,42600,5,1993
Wheat,Bandarban,0,0,11.41,1994
Wheat,Barisal,14900,11140,6,1994
Wheat,Bogra,400990,39670,11.25,1994
Wheat,Chittagonj,140,70,8.75,1994
Wheat,Comilla,110500,103900,5.5,1994
Wheat,Dhaka,80430,59920,20.25,1994
Wheat,Dinajpur,221290,158840,11.25,1994
Wheat,Faridpur,102500,69060,11,1994
Wheat,Jamalpur,65180,51870,11.41,1994
Wheat,Jessore,148550,133520,10.75,1994
Wheat,Khagrachari,0,0,11.41,1994
Wheat,Khulna,8110,7360,5.25,1994
Wheat,Kishoregonj,32910,23320,11.41,1994
Wheat,Kustia,117410,104130,11.41,1994
Wheat,Mymensingh,29340,19770,16.75,1994
Wheat,Noakhali,4750,2790,2.75,1994
Wheat,Pabna,210980,144590,11.41,1994
Wheat,Patuakhali,5,3,6.5,1994
Wheat,Rajshahi,151210,122480,19,1994
Wheat,Rangamati,150,130,5.75,1994
Wheat,Rangpur,166620,136830,11.25,1994
Wheat,Sylhet,19180,12980,17.5,1994
Wheat,Tangail,54890,42620,24.5,1994
Wheat,Bandarban,0,0,45.63,1995
Wheat,Barisal,14380,10150,54,1995
