Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,23,0.01,0.01,20.09,1992
Wheat,9,4.41,3.64,54,1992
Wheat,10,33.65,25,20.09,1992
Wheat,11,121.1,117.59,20.09,1992
Wheat,12,33.01,23.6,11,1992
Wheat,13,2.24,1.07,27,1992
Wheat,14,204.58,139.11,20.09,1992
Wheat,15,0.76,0.22,26.5,1992
Wheat,16,149.52,124.4,9.75,1992
Wheat,24,0.07,0.06,30,1992
Wheat,17,177.73,112.86,7.25,1992
Wheat,18,19.58,14.47,14.5,1992
Wheat,19,52.89,41.89,13,1992
Wheat,22,0,0,23.38,1993
Wheat,20,12.43,8.62,14.25,1993
Wheat,1,41.15,36.83,18.75,1993
Wheat,2,0.04,0.02,23.5,1993
Wheat,4,112.45,92.25,42.5,1993
Wheat,5,77.32,57.66,17.75,1993
Wheat,6,213.69,152.9,14.25,1993
Wheat,7,94.18,71.85,14.25,1993
Wheat,21,63.34,45.34,23.38,1993
Wheat,8,125,95.5,9.25,1993
Wheat,23,0,0,23.38,1993
Wheat,9,6.65,6.26,34,1993
Wheat,10,34.45,24.65,23.38,1993
Wheat,11,113.26,98.71,23.38,1993
Wheat,12,31.8,22.25,20.5,1993
Wheat,13,3.09,2.13,39.5,1993
Wheat,14,198.61,133.51,23.38,1993
Wheat,15,1.25,0.61,24,1993
Wheat,16,150.31,119.22,14.75,1993
Wheat,24,0.21,0.18,40,1993
Wheat,17,163.42,109.06,18.75,1993
Wheat,18,18.61,10.9,46.5,1993
Wheat,19,58.86,42.6,5,1993
Wheat,22,0,0,11.41,1994
Wheat,20,14.9,11.14,6,1994
Wheat,1,400.99,39.67,11.25,1994
Wheat,2,0.14,0.07,8.75,1994
Wheat,4,110.5,103.9,5.5,1994
Wheat,5,80.43,59.92,20.25,1994
Wheat,6,221.29,158.84,11.25,1994
Wheat,7,102.5,69.06,11,1994
Wheat,21,65.18,51.87,11.41,1994
Wheat,8,148.55,133.52,10.75,1994
Wheat,23,0,0,11.41,1994
Wheat,9,8.11,7.36,5.25,1994
Wheat,10,32.91,23.32,11.41,1994
Wheat,11,117.41,104.13,11.41,1994
Wheat,12,29.34,19.77,16.75,1994
Wheat,13,4.75,2.79,2.75,1994
Wheat,14,210.98,144.59,11.41,1994
Wheat,15,0.005,0.003,6.5,1994
Wheat,16,151.21,122.48,19,1994
Wheat,24,0.15,0.13,5.75,1994
Wheat,17,166.62,136.83,11.25,1994
Wheat,18,19.18,12.98,17.5,1994
Wheat,19,54.89,42.62,24.5,1994
Wheat,22,0,0,45.63,1995
Wheat,20,14.38,10.15,54,1995
Wheat,1,48.7,46.86,26.25,1995
Wheat,2,0.26,0.13,83.75,1995
Wheat,4,115.59,104.11,44,1995
Wheat,5,84.42,69.24,38,1995
Wheat,6,230.65,168.75,23.5,1995
Wheat,7,124.69,89.64,28.5,1995
Wheat,21,68.81,52.45,45.63,1995
Wheat,8,161.84,141.54,39.5,1995
Wheat,23,0,0,45.63,1995
